ID State,State,ID Year,total_population,average_wage,poverty_population,employed_population,child_mortality,parent_to_primary_card_ratio,other_primary_care_providers,patient_to_dentist_ratio,patient_to_mental_health_provider_ratio,poor_or_fair_health,premature_deaths,adult_obesity,limited_access_to_healthy_foods,physical_inactivity,diabetes_prevalence,health_and_prosperity_index
04000US01,Alabama,2022,0.11464402450710127,0.31843846081489613,0.4088218394325571,0.07119527276983632,0.41623316877306354,0.3494967978042086,0.8164822586798932,0.26706948640483386,0.5936231884057971,0.21915798862038408,0.15492999101885296,0.23222746940848038,0.3985829150455328,0.2663755148790706,0.3152173261645785,0.3448465484444276
04000US02,Alaska,2022,0.0042352082419800695,0.480688244306025,0.33237871591176077,0.08030367629863214,0.4472025826205445,0.8014638609332113,0.9648988935520794,0.8972809667673716,0.9907246376811594,0.6311098327622089,0.4859740458677014,0.4976302915896008,0.4658359291422685,0.6681222303929176,0.8695651857016868,0.6152270781090834
04000US04,Arizona,2022,0.1697855424190873,0.38740143130552473,0.2822658058804116,0.07459396747931897,0.6974481864969484,0.3677950594693504,0.8435711560473101,0.5335347432024169,0.7002898550724638,0.43944409526251754,0.5693052171593507,0.44075827844268034,0.4046595156688865,0.5807859992065294,0.5760869547612049,0.49271001896106537
04000US05,Arkansas,2022,0.06296827079718903,0.30008225670885696,0.4421723534977248,0.06812254879407299,0.4118266314851461,0.3934126258005489,0.8153376573826784,0.23021148036253777,0.8527536231884058,0.02890021237264347,0.25044459085911563,0.15165879588727943,0.3039035268782186,0.2838428001586941,0.3260869142689158,0.34705400126034563
04000US06,California,2022,0.9974476419947641,0.5286742902892009,0.2077318555863737,0.07698079138979522,0.9347608282566455,0.6047575480329369,0.6718809614650897,0.8072507552870091,0.9426086956521739,0.48095090388350203,0.8980557471184903,0.7109005174445991,0.8153449772340294,0.6375545462241529,0.6195652261939759,0.6383584031469981
04000US08,Colorado,2022,0.1337437754947452,0.5593466963599373,0.25666524487869885,0.08871005638793794,0.7803494791249351,0.6395242451967064,0.8809614650896604,0.7613293051359517,0.9391304347826087,0.7691703410754672,0.7956510181973482,0.8341232361367997,0.6788413603516601,0.7947597883878823,0.9239130452387951,0.6930339797388848
04000US09,Connecticut,2022,0.07820922906464793,0.6247291835054489,0.43811485888046525,0.08419204279063508,0.9548368647562138,0.6651418115279049,0.9297977871041587,0.7969788519637462,0.9518840579710145,0.7279770763175895,0.8300169167462739,0.5734596895332406,0.7373643426794817,0.593886463166247,0.7499999595077109,0.6898842790321523
04000US10,Delaware,2022,0.010891053487444676,0.4425166324191634,0.3511092346781966,0.08043981742572016,0.675147085980498,0.5288197621225984,0.9198779091949637,0.1691842900302115,0.8881159420289855,0.46123144778825464,0.5051612466223601,0.33175352772640054,0.5845243655980065,0.5065502319798588,0.45652172856722895,0.49292523015446044
04000US11,District of Columbia,2022,0.0025833209271625807,1.0,0.5072042915589834,0.09475018376966764,0.39497562321807994,1.0,1.0,0.9921450151057402,0.9802898550724638,0.6493071080553737,0.4719647925364353,0.6492890874768803,0.9381434140679218,0.7423580626901647,0.5760869547612049,0.7140367420223512
04000US12,Florida,2022,0.5417069915434962,0.37618818633348833,0.2790346802460486,0.07562864608246278,0.678651332299937,0.4839890210430009,0.908813429988554,0.5057401812688822,0.767536231884058,0.47484980955676365,0.6118169896705157,0.7061611006238008,0.48670382245683913,0.4803493040604235,0.6195652261939759,0.5325019972649108
04000US13,Georgia,2022,0.2610809778389058,0.4192923400631268,0.3407315089001574,0.07824783276373423,0.5814637660043767,0.37419945105215,0.8805799313239222,0.33051359516616313,0.7147826086956521,0.3704596462382708,0.526129063479667,0.36966829731983897,0.3033220229728037,0.4148471794735647,0.43478255235855434,0.4385014139865702
04000US15,Hawaii,2022,0.022642408160283217,0.4402035642461936,0.35257877382713537,0.0816587513984278,0.7498626235771103,0.7236962488563586,0.6402136589088134,0.8163141993957704,0.8759420289855072,0.656261489609567,0.8636506987848186,0.7440758702172392,0.655201953907064,0.5676856003173882,0.6304347333137351,0.6284128710960806
04000US16,Idaho,2022,0.03301961601399236,0.3381228836410225,0.3866859881776583,0.07612037889894195,0.743911425103261,0.3513266239707228,0.8798168637924456,0.5782477341389728,0.8318840579710145,0.6703732030483929,0.7947859943820059,0.5545024459797584,0.4619389146133241,0.593886463166247,0.6413043214180724,0.5644933784501315
04000US17,Illinois,2022,0.3134224343702423,0.5029015134394766,0.28930813547644757,0.08244044070260974,0.7031430863734391,0.6129917657822507,0.8073254483021748,0.7534743202416918,0.8684057971014493,0.5274454061744785,0.6773471266932087,0.4597156632393995,0.6949615600015216,0.5152838746196706,0.5543477785525303,0.5749351369071677
04000US18,Indiana,2022,0.1598105696665872,0.38190916502010547,0.43923491760600003,0.08066989044345535,0.5567761033782641,0.37145471180237877,0.8466234261732163,0.4525679758308157,0.7605797101449275,0.4015318430721497,0.43416443251377196,0.27488151457948007,0.40654382656540666,0.2751091575188823,0.43478255235855434,0.436916373357672
04000US19,Iowa,2022,0.06734440662401824,0.39490811618170457,0.4940106341118904,0.08433953609314812,0.7585660967790748,0.5068618481244281,0.8721861884776803,0.6235649546827795,0.7542028985507246,0.7765054544634329,0.7596043199612479,0.3270142521488393,0.6313969573562491,0.47161566142061173,0.6630434166421688,0.5798443096424271
04000US20,Kansas,2022,0.060840289982679534,0.4002901441604015,0.4620289969563956,0.08263057081560411,0.6348943420898066,0.576395242451967,0.9053796260969096,0.5063444108761329,0.8133333333333334,0.5272686911468704,0.6150190381363957,0.26540282218112043,0.42277306170936974,0.4454148636423294,0.586956461880964,0.5174379718198285
